province,day,S,E,I,R
Paktika,28.75,1387.509969098794,35691.7445826909,17052.36417491987,39418.46501329044
Paktika,29.0,1169.3225577261942,34808.34399928184,17086.943750011786,40485.47343298019
Paktika,29.25,985.2482458049493,33918.55108486439,17092.554986208714,41553.72942312196
Paktika,29.5,830.2189848341962,33027.550428007926,17070.84083094116,42621.47349621673
Paktika,29.75,699.8267851517393,32139.71739527417,17023.48916042337,43687.050399150736
Paktika,30.0,590.2652894928917,31258.700560368346,16952.2068025505,44748.91108758827
Paktika,30.25,498.26817148245203,30387.50472597809,16858.697636796613,45805.613205742855
Paktika,30.5,421.0477338465006,29528.57116940571,16744.644518584788,46855.820318163016
Paktika,30.75,356.2358441378076,28683.85313142363,16611.694643351067,47898.30012108751
Paktika,31.0,301.8288411599982,27854.88505589788,16461.44800455872,48931.92183838341
Paktika,31.25,256.1371622506252,27042.84505879486,16295.448537589695,49955.65298136483
Paktika,31.5,217.7401401502472,26248.61038128943,16115.177588811846,50968.55562974849
Paktika,31.75,185.44599744512806,25472.806019560077,15922.049354379422,51969.78236861538
Paktika,32.0,158.25684141451003,24715.846938601564,15717.407968465603,52958.571991518336
Paktika,32.25,135.33835844715932,23977.974357790943,15502.525955403873,53934.24506835804
Paktika,32.5,115.99375902067752,23259.286739897303,15278.603791796735,54896.1994492853
Paktika,32.75,99.64155916133049,22559.76604774335,15046.770359965687,55843.90577312964
Paktika,33.0,85.79671944286373,21879.299890483228,14808.084105052467,56776.90302502146
Paktika,33.25,74.05472418136537,21217.700094145515,14563.53473740647,57694.79418426667
Paktika,33.5,64.07819456901754,20574.7182065556,14314.045344285953,58597.24199458945
Paktika,33.75,55.58566125038453,19950.058401420494,14060.474805970038,59483.964871359094
Paktika,34.0,48.34218848074035,19343.38816165568,13803.62041744435,60354.732972419246
Paktika,34.25,42.15154773376393,18754.347110330342,13544.220648181476,61209.36443375443
Paktika,34.5,36.84970363904406,18182.554278085736,13282.95797813474,62047.72178014049
Paktika,34.75,32.299399558434246,17627.614064659276,13020.461759046304,62869.708516736
Paktika,35.0,28.385658276597844,17089.12111673594,12757.31106706473,63675.26589792274
Paktika,35.25,25.012046917251617,16566.66430356321,12494.037517621176,64464.36987189837
Paktika,35.5,22.09757924161432,16059.829942963459,12231.128016350734,65237.028201444205
Paktika,35.75,19.574144913156694,15568.204409604232,11969.027431757611,65993.27775372501
Paktika,36.0,17.384376412467265,15091.376232372131,11708.141176926703,66733.18195428871
Paktika,36.25,15.479878750654633,14628.937770140854,11448.837692162757,67456.82839894576
Paktika,36.5,13.819759484124349,14180.48654046611,11191.450822416478,68164.32661763331
Paktika,36.75,12.369407508439341,13745.626262621412,10936.282086042946,68855.80598382723
Paktika,37.0,11.099477568160104,13323.967666105007,10683.602834101453,69531.4137622254
Paktika,37.25,9.985045118581569,12915.129106632658,10433.65630032539,70191.3132879234
Paktika,37.5,9.004902273720237,12518.737024339856,10186.659543068681,70835.68227031777
Paktika,37.75,8.140970647205307,12134.426272857589,9942.805281430627,71464.71121506461
Paktika,38.0,7.377811098492989,11761.840342904843,9702.263628424846,72078.60195757185
Paktika,38.25,6.702213874586598,11400.6314998912,9465.183724539183,72677.56630169506
Paktika,38.5,6.10285550704066,11050.46085159698,9231.695275379916,73261.8247575161
Paktika,38.75,5.570011188063295,10710.998359167828,9001.909997355098,73831.60537228904
Paktika,39.0,5.095313295074787,10381.922802309145,8775.922975584026,74387.14264881177
Paktika,39.25,4.671548371410252,10062.92170764626,8553.81393809433,74928.67654588801
Paktika,39.5,4.2924862712883165,9753.691248020243,8335.648448580772,75456.45155712772
Paktika,39.75,3.9527359378912434,9453.936118350897,8121.479024854492,75970.71586085676
Paktika,40.0,3.6476237466686583,9163.369393308458,7911.346184892423,76471.72053805248
Paktika,40.25,3.37309038216371,8881.712370532105,7705.279427117974,76959.71885196779
Paktika,40.5,3.1256034881167176,8608.69440311205,7503.2981460227475,77434.96558737711
Paktika,40.75,2.9020837280518026,8344.052726146947,7305.4124798388475,77897.71645028619
Paktika,41.0,2.6998418662001145,8087.5322758586335,7111.624109108945,78348.22751316626
Paktika,41.25,2.5165248480899627,7838.885503239192,6921.927007379184,78786.75470453357
Paktika,41.5,2.350070177014426,7597.872190329476,6736.3081240759375,79213.5533554176
Paktika,41.75,2.19866703709574,7364.259264272202,6554.748026371539,79628.87778231919
Paktika,42.0,2.0607224413039917,7137.820604747946,6377.221516697405,80032.98089611338
Paktika,42.25,1.9348327829627787,6918.336865197356,6203.698168723005,80426.11387329671
Paktika,42.5,1.8197593351270522,6705.595285523426,6034.142856859411,80808.52583828208
Paktika,42.75,1.7144066191073668,6499.389506479978,5868.51624633455,81180.4635805664
Paktika,43.0,1.617804738187886,6299.519401582904,5706.775212475047,81542.1713212039
Paktika,43.25,1.5290930691794078,6105.790884373765,5548.873296685552,81893.89046587155
Paktika,43.5,1.4475071152663168,5918.01575647429,5394.761039965554,82235.85943644492
Paktika,43.75,1.3723663558179757,5736.011514498068,5244.386394702765,82568.31346444339
Paktika,44.0,1.3030643334955163,5559.60121130281,5097.694992853079,82891.48447151066
Paktika,44.25,1.2390594951501255,5388.613263981634,4954.630515799474,83205.60090072379
Paktika,44.5,1.1798677816813847,5222.88133040057,4815.13490352544,83510.88763829235
Paktika,44.75,1.1250555261932396,5062.244115968112,4679.1486910668655,83807.56587743887
Paktika,45.0,1.0742340659321004,4906.545266443838,4546.611167137858,84095.85307235242
Paktika,45.25,1.027054027219356,4755.633178782216,4417.460668837192,84375.96283835341
Paktika,45.5,0.9832014741825489,4609.360893221561,4291.63472840241,84648.1049169019
Paktika,45.75,0.9423934161095374,4467.585940425597,4169.070277272179,84912.48512888617
Paktika,46.0,0.9043746852906851,4330.1701894718635,4049.703848109316,85169.30532773359
Paktika,46.25,0.8689149191790875,4196.979767793645,3933.4716518878276,85418.7634053994
Paktika,46.5,0.8358055257166759,4067.8848668890387,3820.309815183765,85661.05325240154
Paktika,46.75,0.8048578327764941,3942.759665494681,3710.1544498277985,85896.3647668448
Paktika,47.0,0.7759006663101876,3821.4822142797757,3602.9417609893535,86124.88386406461
Paktika,47.25,0.7487784979308795,3703.934262247423,3498.6082276251354,86346.79247162957
Paktika,47.5,0.723350124765768,3590.0012117725414,3397.0906204662324,86562.26855763652
Paktika,47.75,0.699486891134841,3479.5719843651623,3298.32611402787,86771.4861547159
Paktika,48.0,0.6770715015046475,3372.538870963074,3202.252415335284,86974.61538220021
Paktika,48.25,0.6559970706703713,3268.7974977339186,3108.8077652040074,87171.82247999148
Paktika,48.5,0.6361658653023948,3168.2467014363397,3017.9310233171477,87363.26984938128
Paktika,48.75,0.6174884399540059,3070.788383332419,2929.5617709958146,87549.11609723188
Paktika,49.0,0.5998830125061921,2976.327479025608,2843.6403079158536,87729.5160700461
Paktika,49.25,0.5832745823017533,2884.771865910185,2760.1076970644644,87904.62090244312
Paktika,49.5,0.5675942285628981,2796.0322060491576,2678.905853361878,88074.57808636047
